tconst	titleType	primaryTitle	averageRating	numVotes	startYear	runtimeMinutes	genre1	genre2	genre3
tt0022395	movie	The Skin Game	5.7	3332	1931	85	Drama	NA	NA
tt0022397	movie	Skippy	6.3	855	1931	85	Comedy	Drama	Family
tt0022402	short	The Stolen Jools	5.8	1111	1931	20	Comedy	Short	NA
tt0022405	short	Smile, Darn Ya, Smile!	5.6	662	1931	7	Animation	Comedy	Family
tt0022408	movie	Alone	4.2	14	1931	79	Drama	NA	NA
tt0022412	movie	Son of India	6	204	1931	73	Drama	Romance	NA
tt0022422	movie	The Spirit of Notre Dame	5.1	94	1931	80	Drama	Sport	NA
tt0022428	movie	The Squaw Man	6.3	399	1931	107	Drama	Western	NA
tt0022432	movie	Stepping Out	5.6	174	1931	73	Comedy	Romance	NA
tt0022434	movie	Den store barnedåpen	5.9	93	1931	104	Comedy	Drama	NA
tt0022435	movie	Strangers May Kiss	5.9	500	1931	81	Drama	Romance	NA
tt0022436	movie	Street Scene	7.6	1862	1931	80	Drama	Romance	NA
tt0022440	movie	The Struggle	6	353	1931	87	Drama	NA	NA
tt0022444	movie	Storm Over Mont Blanc	6.2	256	1930	93	Adventure	Drama	NA
tt0022453	movie	Susan Lenox (Her Fall and Rise)	6.3	1268	1931	76	Drama	Romance	NA
tt0022458	movie	Tabu: A Story of the South Seas	7.4	6069	1931	86	Adventure	Drama	Romance
tt0022462	short	Taris	6.7	2382	1931	10	Documentary	Short	Sport
tt0022468	movie	The Battle of Gallipoli	6.3	76	1931	80	Drama	War	NA
tt0022469	movie	Ten Cents a Dance	6.5	828	1931	75	Crime	Drama	Romance
tt0022472	short	The Terror of Batignolles	6.4	77	1931	15	Comedy	Crime	Short
tt0022473	movie	The Texas Ranger	6.2	25	1931	61	Western	NA	NA
tt0022485	movie	Tokyo Chorus	7.2	1455	1931	90	Comedy	Drama	NA
tt0022486	movie	Tommi	6.2	24	1931	63	Drama	NA	NA
tt0022489	movie	Tonight or Never	6.6	1504	1931	80	Comedy	Romance	NA
tt0022495	movie	Trader Horn	6.2	1040	1931	122	Action	Adventure	Drama
tt0022514	movie	The Two Gun Man	5.8	81	1931	58	Western	NA	NA
tt0022531	movie	The Vanishing Legion	6.7	90	1931	220	Adventure	Western	NA
tt0022535	movie	The Company's in Love	6.1	134	1932	73	Comedy	NA	NA
tt0022537	movie	The Viking	6	178	1931	70	Adventure	Drama	Romance
tt0022552	movie	White Ecstasy	5.8	122	1931	70	Comedy	NA	NA
tt0022553	movie	Wer nimmt die Liebe ernst...?	7.1	49	1931	91	Comedy	Romance	NA
tt0022562	movie	Wild Horse	5.8	110	1931	77	Western	NA	NA
tt0022569	movie	The Woman Between	5.4	144	1931	73	Drama	NA	NA
tt0022589	movie	Young Donovan's Kid	5.4	22	1931	77	Crime	Drama	NA
tt0022594	movie	The Squeeker	5.7	117	1931	64	Drama	NA	NA
tt0022595	movie	Golden Mountains	6.8	49	1931	129	Drama	NA	NA
tt0022599	movie	À Nous la Liberté	7.4	4742	1931	104	Comedy	Musical	NA
tt0022605	movie	Married by the Stork	6.5	13	1932	89	Comedy	NA	NA
tt0022628	movie	The Animal Kingdom	6.4	1204	1932	85	Comedy	Drama	Romance
tt0022630	short	Any Old Port!	7.3	1312	1932	20	Comedy	Short	NA
tt0022645	movie	In the Name of the Law	6.5	114	1932	95	Crime	Drama	NA
tt0022646	movie	The Children of the Sun	6	35	1932	47	Drama	NA	NA
